timestamp,run_id,scenario,step,target,status,duration_sec,message
2026-08-20T12:16:48+09:00,20260820-121648,provision-dr,check_onprem_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-08-20T12:16:48+09:00,20260820-121648,switch-to-onprem,check_context,eks-a,SUCCESS,0,"completed"
2026-08-20T12:16:48+09:00,20260820-121648,switch-to-onprem,check_context,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-08-20T12:16:48+09:00,20260820-121648,provision-dr,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-08-20T12:16:48+09:00,20260820-121648,switch-to-onprem,check_onprem_cluster,kubernetes-admin@kubernetes,SUCCESS,0,"completed"
2026-08-20T12:17:01+09:00,20260820-121648,switch-to-onprem,internal_health_before_switch,onprem,SUCCESS,9,"completed"
2026-08-20T12:17:17+09:00,20260820-121648,switch-to-onprem,activate_cloudflared,onprem,SUCCESS,16,"completed"
2026-08-20T12:17:19+09:00,20260820-121648,provision-dr,terraform_init_02-eks,02-eks,SUCCESS,31,"completed"
2026-08-20T12:17:35+09:00,20260820-121648,switch-to-onprem,deactivate_cloudflared,eks-a,SUCCESS,12,"completed"
2026-08-20T12:17:37+09:00,20260820-121648,switch-to-onprem,external_health_after_switch,onprem,SUCCESS,1,"completed"
2026-08-20T12:17:37+09:00,20260820-121648,switch-to-onprem,total,switch-to-onprem,SUCCESS,49,"온프레미스 긴급 우회 완료"
2026-08-20T12:29:41+09:00,20260820-121648,provision-dr,terraform_apply_02-eks,02-eks,SUCCESS,742,"completed"
2026-08-20T12:29:47+09:00,20260820-121648,provision-dr,update_kubeconfig,eks-b,SUCCESS,2,"completed"
2026-08-20T12:29:47+09:00,20260820-121648,provision-dr,check_eks_b_context,eks-b,SUCCESS,0,"completed"
2026-08-20T12:29:48+09:00,20260820-121648,provision-dr,check_eks_b_cluster,eks-b,SUCCESS,1,"completed"
2026-08-20T12:29:51+09:00,20260820-121648,provision-dr,wait_eks_b_nodes,eks-b,SUCCESS,3,"completed"
2026-08-20T12:30:19+09:00,20260820-121648,provision-dr,terraform_init_03-platform,03-platform,SUCCESS,28,"completed"
2026-08-20T12:31:32+09:00,20260820-121648,provision-dr,terraform_apply_03-platform,03-platform,SUCCESS,73,"completed"
2026-08-20T12:32:01+09:00,20260820-121648,provision-dr,terraform_init_04-eks-workloads,04-eks-workloads,SUCCESS,29,"completed"
2026-08-20T12:33:36+09:00,20260820-121648,provision-dr,terraform_apply_04-eks-workloads,04-eks-workloads,SUCCESS,95,"completed"
2026-08-20T12:34:02+09:00,20260820-121648,provision-dr,terraform_init_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,26,"completed"
2026-08-20T12:35:37+09:00,20260820-121648,provision-dr,terraform_apply_05-eks-autoscaling,05-eks-autoscaling,SUCCESS,95,"completed"
2026-08-20T12:35:37+09:00,20260820-121648,provision-dr,wait_argocd_cluster_secret,onprem-argocd,SUCCESS,0,"completed"
2026-08-20T12:35:38+09:00,20260820-121648,provision-dr,apply_applicationsets,onprem-argocd,SUCCESS,1,"completed"
2026-08-20T12:35:39+09:00,20260820-121648,provision-dr,wait_eks_b_gitops_applications,eks-b,SUCCESS,0,"completed"
2026-08-20T12:35:58+09:00,20260820-121648,provision-dr,activate_eks_b_applications,eks-b,SUCCESS,18,"completed"
2026-08-20T12:36:03+09:00,20260820-121648,provision-dr,wait_eks_b_app_pods,eks-b,SUCCESS,5,"completed"
2026-08-20T12:36:21+09:00,20260820-121648,provision-dr,eks_b_internal_health,eks-b,SUCCESS,18,"completed"
2026-08-20T12:36:43+09:00,20260820-121648,provision-dr,activate_cloudflared,eks-b,SUCCESS,13,"completed"
2026-08-20T12:36:43+09:00,20260820-121648,provision-dr,deactivate_cloudflared,onprem,SUCCESS,0,"completed"
2026-08-20T12:36:51+09:00,20260820-121648,provision-dr,deactivate_cloudflared,eks-a,SUCCESS,6,"completed"
2026-08-20T12:36:52+09:00,20260820-121648,provision-dr,external_health_after_dr_switch,eks-b,SUCCESS,1,"completed"
2026-08-20T12:37:00+09:00,20260820-121648,provision-dr,total,provision-dr,SUCCESS,1212,"Terraform 02~05 및 GitOps 배포 후 EKS-B 전환 완료"
2026-08-20T12:53:26+09:00,20260820-125326,restore-primary,check_eks_a_context,eks-a,SUCCESS,0,"completed"
2026-08-20T12:53:28+09:00,20260820-125326,restore-primary,check_eks_a_cluster,eks-a,SUCCESS,2,"completed"
2026-08-20T12:53:30+09:00,20260820-125326,restore-primary,wait_eks_a_nodes,eks-a,SUCCESS,2,"completed"
2026-08-20T12:53:33+09:00,20260820-125326,restore-primary,wait_eks_a_app_pods,eks-a,SUCCESS,3,"completed"
2026-08-20T12:53:41+09:00,20260820-125326,restore-primary,eks_a_internal_health,eks-a,SUCCESS,8,"completed"
2026-08-20T12:53:59+09:00,20260820-125326,restore-primary,activate_cloudflared,eks-a,SUCCESS,9,"completed"
2026-08-20T12:54:05+09:00,20260820-125326,restore-primary,deactivate_cloudflared,eks-b,SUCCESS,4,"completed"
2026-08-20T12:54:06+09:00,20260820-125326,restore-primary,external_health_after_primary_restore,eks-a,SUCCESS,0,"completed"
2026-08-20T12:54:10+09:00,20260820-125326,restore-primary,total,restore-primary,SUCCESS,44,"cloudflared replica를 EKS-B에서 EKS-A로 이동 완료"
